at-k4.21-school.ru (192.168.22.64) at 78:7b:8a:cb:6e:52 on en0 ifscope [ethernet]
at-k5.21-school.ru (192.168.22.65) at 78:7b:8a:d6:bb:af on en0 ifscope [ethernet]
at-m2.21-school.ru (192.168.22.78) at 78:7b:8a:d5:90:33 on en0 ifscope [ethernet]
at-m4.21-school.ru (192.168.22.80) at 78:7b:8a:cb:67:df on en0 ifscope [ethernet]
at-m7.21-school.ru (192.168.22.83) at 78:7b:8a:c8:d1:95 on en0 ifscope [ethernet]
at-n3.21-school.ru (192.168.22.87) at 78:7b:8a:cb:63:4 on en0 ifscope [ethernet]
at-p6.21-school.ru (192.168.22.106) at 78:7b:8a:cb:84:31 on en0 ifscope [ethernet]
at-p8.21-school.ru (192.168.22.108) at 78:7b:8a:cb:67:30 on en0 ifscope [ethernet]
at-q2.21-school.ru (192.168.22.110) at 78:7b:8a:d6:b8:7c on en0 ifscope [ethernet]
at-q4.21-school.ru (192.168.22.112) at 78:7b:8a:d6:ba:98 on en0 ifscope [ethernet]
at-q7.21-school.ru (192.168.22.115) at 78:7b:8a:c8:d3:bf on en0 ifscope [ethernet]
at-r1.21-school.ru (192.168.22.118) at 78:7b:8a:d6:b5:ab on en0 ifscope [ethernet]
at-r2.21-school.ru (192.168.22.119) at 78:7b:8a:d6:ba:a0 on en0 ifscope [ethernet]
at-r8.21-school.ru (192.168.22.125) at 78:7b:8a:d6:b5:5a on en0 ifscope [ethernet]
mi-a6.21-school.ru (192.168.23.16) at 78:7b:8a:d5:4:3b on en0 ifscope [ethernet]
mi-b2.21-school.ru (192.168.23.18) at a8:60:b6:34:f2:bd on en0 ifscope [ethernet]
mi-b3.21-school.ru (192.168.23.19) at 78:7b:8a:d6:fc:94 on en0 ifscope [ethernet]
mi-f5.21-school.ru (192.168.23.45) at 78:7b:8a:d6:86:15 on en0 ifscope [ethernet]
mi-h6.21-school.ru (192.168.23.58) at 78:7b:8a:cb:70:a6 on en0 ifscope [ethernet]
mi-o6.21-school.ru (192.168.23.100) at 78:7b:8a:d6:fe:6d on en0 ifscope [ethernet]
mi-u2.21-school.ru (192.168.23.132) at 78:7b:8a:d6:d4:9 on en0 ifscope [ethernet]
mi-u3.21-school.ru (192.168.23.133) at 78:7b:8a:d5:5:5f on en0 ifscope [ethernet]
? (224.0.0.251) at 1:0:5e:0:0:fb on en0 ifscope permanent [ethernet]
? (239.255.255.250) at 1:0:5e:7f:ff:fa on en0 ifscope permanent [ethernet]
